Name,Link,Podcast,Number,Löschen?,Kein Podcast?,Privat?,Zeile OK?,100.00%,Podcasts bis jetzt (zum nachschlagen):,
BM-27-04-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-27-04-12.txt,BM,27-04-12,,,,TRUE,,,
BM-27-06-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-27-06-12.txt,BM,27-06-12,,,,TRUE,,,
BM-27-11-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-27-11-12.txt,BM,27-11-12,,,,TRUE,,,
BM-28-03-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-28-03-12.txt,BM,28-03-12,,,,TRUE,,,
BM-28-08-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-28-08-12.txt,BM,28-08-12,,,,TRUE,,,
bm-29-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-29-01-13.txt,BM,29-01-13,,,,TRUE,,,
BM-29-05-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-29-05-12.txt,BM,29-05-12,,,,TRUE,,,
bm-30-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-30-01-13.txt,BM,30-01-13,,,,TRUE,,,
BM-30-08-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-30-08-12.txt,BM,30-08-12,,,,TRUE,,,
BM-30-10-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-30-10-12.txt,BM,30-10-12,,,,TRUE,,,
BM-31-03-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-31-03-13.txt,BM,31-03-13,,,,TRUE,,,
bm-31-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-31-07-12.txt,BM,31-07-12,,,,TRUE,,,
br-fcll042.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/br-fcll042.txt,BAC,42,,,,TRUE,,,
BS01.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BS01.txt,BS,1,,,,TRUE,,,
cr180.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/cr180.txt,CR,180,,,,TRUE,,,
cr183.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/cr183.txt,CR,183,,,,TRUE,,,
cr184.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/cr184.txt,CR,184,,,,TRUE,,,
cr185.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/cr185.txt,CR,185,,,,TRUE,,,
cr186.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/cr186.txt,CR,186,,,,TRUE,,,
DW17.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/DW17.txt,DW,17,,,,TRUE,,,
DW18.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/DW18.txt,DW,18,,,,TRUE,,,
DW19.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/DW19.txt,DW,19,,,,TRUE,,,
dw20.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/dw20.txt,DW,20,,,,TRUE,,,
dw21.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/dw21.txt,DW,21,,,,TRUE,,,
dw22.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/dw22.txt,DW,22,,,,TRUE,,,
dw24.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/dw24.txt,DW,24,,,,TRUE,,,
dw.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/dw.txt,DW,14,,,,TRUE,,,
ep167.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep167.txt,EP,167,,,,TRUE,,,
ep168.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep168.txt,EP,168,,,,TRUE,,,
ep169.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep169.txt,EP,169,,,,TRUE,,,
ep176.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep176.txt,EP,176,,,,TRUE,,,
ep177.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep177.txt,EP,177,,,,TRUE,,,
ep178.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep178.txt,EP,178,,,,TRUE,,,
ep179.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep179.txt,EP,179,,,,TRUE,,,
ep181-2.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep181-2.txt,EP,181,,,,TRUE,,,
ep181.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep181.txt,PP,16,,,,TRUE,,,
